,Card Name,Minimum Salaried Income,Minimum ITR for Self Employed,Joining Fee,Renewal Fee,Best Suited For,Reward Type,Welcome Benefits,Bank Name,shopping,travel,dining,movies,fuel,food,bill payment,stays,business expenses,annual fee waiver,welcome scores
0,American Express Membership Rewards Credit Card,600000,600000,1000,4500,shopping,Reward Points,"Welcome benefit of 4,000 Bonus Membership RPs can be availed on settling the joining fee of Rs. 1,000 and spending of Rs 15,000 within the first 90 days of the card issuance.",American Express,1,0,0,0,0,0,0,0,0,150000,2
1,American Express SmartEarn Credit Card,450000,600000,495,495,shopping,Reward Points,"Cashback of ₹500 and 4,000 Referral Bonus Membership Rewards Points",American Express,1,0,0,0,0,0,0,0,0,40000,2
2,American Express Gold Charge Card,600000,600000,1000,4500,travel | shopping,Reward Points,"4,000 Bonus Membership Rewards Points + 4,000 Referral Bonus Membership Rewards Points (Limited Time Offer)",American Express,1,1,0,0,0,0,0,0,0,inf,4
3,American Express Platinum Travel Credit Card,600000,600000,5000,5000,travel | shopping,Reward Points,"10,000 Membership Rewards Points",American Express,1,1,0,0,0,0,0,0,0,inf,4
4,American Express Platinum Reserve Credit Card,1500000,1500000,10000,10000,travel | dining | shopping,Reward Points,"11,000 bonus Membership Rewards Points on a minimum expenditure of Rs. 30,000 within 90 days of card issuance.",American Express,1,1,1,0,0,0,0,0,0,inf,4
5,American Express Platinum Charge Card,2500000,1500000,66000,66000,travel | shopping,Reward Points,"Vouchers Worth ₹60,000 of Taj Hotels, Luxe Gift Card, and The Postcard Hotels & Resorts",American Express,1,1,0,0,0,0,0,0,0,inf,10
6,AU Bank LIT Credit Card,0,0,0,0,movies | travel | dining | fuel | shopping,Reward Points,,AU Bank,1,1,1,1,1,0,0,0,0,0,0
7,AU Altura Plus Credit Card,0,0,499,499,shopping,Reward Points,,AU Bank,1,0,0,0,0,0,0,0,0,80000,0
8,AU Altura Credit Card,0,0,199,199,shopping,Cashback,,AU Bank,1,0,0,0,0,0,0,0,0,40000,0
9,AU Zenith+ Credit Card,3000000,3000000,4999,4999,travel | dining | shopping,Reward Points,"Luxury Gift Vouchers or Reward Points Worth ₹5,000",AU Bank,1,1,1,0,0,0,0,0,0,800000,5
10,ixigo AU Credit Card,0,0,0,0,travel,Reward Points,1000 RPs and Rs. 1000 ixigo Money Voucher on First Transaction Within 30 days of Card Issuance,AU Bank,0,1,0,0,0,0,0,0,0,0,4
11,AU Vetta Credit Card,0,0,2999,2999,travel | shopping,Reward Points,,AU Bank,1,1,0,0,0,0,0,0,0,150000,0
12,AU Spont Credit Card,0,0,299,299,shopping,Cashback,,AU Bank,1,0,0,0,0,0,0,0,0,inf,0
13,AU Bank Xcite Ace Credit Card,0,0,0,0,shopping,Reward Points,,AU Bank,1,0,0,0,0,0,0,0,0,0,0
14,AU Bank Xcite Credit Card,0,0,0,0,shopping,Reward Points,,AU Bank,1,0,0,0,0,0,0,0,0,0,0
